location,Chicago,Chicago,Chicago,Chicago
lat,41.99986,41.99986,41.99986,41.99986
lon,-87.65625,-87.65625,-87.65625,-87.65625
asl,188.244,188.244,188.244,188.244
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°F,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Chicago Temperature [2 m elevation corrected],Chicago Precipitation Total,Chicago Wind Speed [10 m],Chicago Wind Direction [10 m]
20201109T0000,63.57215,0.0,24.482647,179.15747
20201109T0100,62.49215,0.0,24.130743,178.29019
20201109T0200,61.50215,0.0,23.411074,178.23761
20201109T0300,60.458153,0.0,23.042812,179.10483
20201109T0400,59.558155,0.0,22.33161,178.15239
20201109T0500,58.784157,0.0,21.288757,176.12148
20201109T0600,60.152153,0.0,21.26744,177.08916
20201109T0700,59.648155,0.0,21.647945,176.18593
20201109T0800,60.458153,0.0,22.007162,176.24828
20201109T0900,63.26615,0.0,23.0653,177.31622
20201109T1000,67.496155,0.0,24.119999,180.0
20201109T1100,70.97015,0.0,25.264202,184.08562
20201109T1200,73.43615,0.0,25.812277,188.01709
20201109T1300,74.89415,0.0,25.40743,187.3264
20201109T1400,75.45215,0.0,25.942488,182.38594
20201109T1500,75.164154,0.0,26.649727,178.45184
20201109T1600,73.940155,0.0,27.77838,176.28471
20201109T1700,71.92415,0.0,28.58545,174.2176
20201109T1800,70.30415,0.0,29.660152,174.4278
20201109T1900,69.386154,0.0,25.223133,182.45403
20201109T2000,68.57616,0.0,25.959969,183.17982
20201109T2100,67.92815,0.0,26.400545,185.47737
20201109T2200,67.56815,0.0,26.932714,188.45503
20201109T2300,66.956154,0.0,26.932714,188.45503
20201110T0000,66.344154,0.0,27.047956,189.9638
20201110T0100,65.192154,0.0,27.684914,192.77124
20201110T0200,64.76015,0.0,27.248457,195.3215
20201110T0300,64.38216,0.0,26.654589,196.47688
20201110T0400,64.400154,0.0,26.554728,195.73201
20201110T0500,64.36415,0.0,26.368616,194.22597
20201110T0600,64.18415,0.0,26.758923,190.85641
20201110T0700,64.52615,0.0,26.27753,189.46233
20201110T0800,65.62415,0.0,28.357857,188.02724
20201110T0900,67.190155,0.0,29.834423,188.32565
20201110T1000,69.04416,0.0,30.244286,188.90172
20201110T1100,71.00615,0.0,30.855171,187.37376
20201110T1200,71.456154,0.0,32.32992,187.67897
20201110T1300,73.04015,0.0,33.2781,185.58725
20201110T1400,72.37415,0.0,34.268143,183.61388
20201110T1500,72.12215,0.0,36.832767,184.4846
20201110T1600,71.76215,0.0,39.160656,186.8637
20201110T1700,71.52815,0.0,40.192837,186.17018
20201110T1800,71.438156,0.2,42.10769,187.36806
20201110T1900,69.85416,0.9,37.784565,210.96376
20201110T2000,66.12815,1.5,32.957207,220.1261
20201110T2100,60.35015,0.4,36.23682,229.02826
20201110T2200,54.302155,0.0,37.419224,239.98164
20201110T2300,50.288155,0.0,38.67278,245.82089
20201111T0000,46.760155,0.0,39.860954,249.92847
20201111T0100,42.314156,0.0,40.456375,258.19012
20201111T0200,38.048153,0.0,38.221085,266.7603
20201111T0300,35.330154,0.0,34.606842,272.98145
20201111T0400,33.602154,0.0,31.487139,275.90616
20201111T0500,32.306156,0.0,28.623962,276.49933
20201111T0600,31.460155,0.0,26.932714,278.45502
20201111T0700,32.144154,0.0,23.759998,270.0
20201111T0800,33.980156,0.0,23.770906,271.73572
20201111T0900,36.356155,0.0,24.130743,271.7098
20201111T1000,39.020153,0.0,21.647945,273.8141
20201111T1100,41.342155,0.0,18.751125,273.30188
20201111T1200,43.358154,0.0,17.283749,271.19348
20201111T1300,45.176155,0.0,14.4,270.0
20201111T1400,46.328156,0.0,12.287555,264.95755
20201111T1500,46.778152,0.0,11.440978,257.27563
20201111T1600,46.454155,0.0,10.829958,248.55226
20201111T1700,45.248154,0.0,10.787993,244.29004
20201111T1800,44.186157,0.0,10.787993,244.29004
20201111T1900,42.728157,0.0,12.904882,239.85861
20201111T2000,41.432156,0.0,13.392774,233.74615
20201111T2100,40.298157,0.0,13.608762,232.52382
20201111T2200,39.416153,0.0,13.513193,228.2397
20201111T2300,38.660156,0.0,13.830749,231.3402
20201112T0000,37.994156,0.0,13.324863,231.58195
20201112T0100,37.364155,0.0,13.004922,228.36647
20201112T0200,36.842155,0.0,13.276144,229.39871
20201112T0300,36.338154,0.0,13.513193,228.2397
20201112T0400,36.068153,0.0,12.984975,226.1233
20201112T0500,35.654156,0.0,12.229406,222.61406
20201112T0600,35.186153,0.0,11.304229,217.23483
20201112T0700,36.140156,0.0,11.090103,215.75389
20201112T0800,39.938156,0.0,11.440979,204.14554
20201112T0900,43.520157,0.0,12.224107,193.627
20201112T1000,46.580154,0.0,13.698934,183.01279
20201112T1100,48.974155,0.0,15.546833,174.68546
20201112T1200,50.846153,0.0,17.373497,174.05313
20201112T1300,52.178154,0.0,18.03237,176.56638
20201112T1400,52.880157,0.0,17.283749,178.8065
20201112T1500,52.952156,0.0,15.546833,174.68546
20201112T1600,52.052155,0.0,13.979871,168.11134
20201112T1700,50.126156,0.0,13.1041975,159.0755
20201112T1800,48.686157,0.0,13.527572,154.79887
20201112T1900,47.714157,0.0,18.448023,162.97948
20201112T2000,47.696156,0.0,18.486622,173.29016
20201112T2100,47.426155,0.0,18.374111,182.24574
20201112T2200,47.030155,0.0,18.35647,191.30994
20201112T2300,46.148155,0.0,19.319628,206.56505
20201113T0000,44.852154,0.5,18.899143,220.36453
20201113T0100,44.204155,0.4,18.671474,236.00354
20201113T0200,44.096153,0.0,19.959719,262.74683
20201113T0300,42.260155,0.0,25.6233,294.04422
20201113T0400,38.858154,0.0,33.108257,313.2376
20201113T0500,34.322155,0.0,36.881996,321.3402
20201113T0600,30.470156,0.0,35.647274,321.97278
20201113T0700,29.624155,0.0,28.266304,313.45184
20201113T0800,30.542154,0.0,28.79325,312.46643
20201113T0900,32.198154,0.0,28.766228,314.49298
20201113T1000,33.908154,0.0,27.267473,317.6754
20201113T1100,35.456154,0.0,23.419376,315.0
20201113T1200,36.986153,0.0,20.390114,312.1376
20201113T1300,38.282154,0.0,17.49615,306.63412
20201113T1400,39.074154,0.0,15.990646,301.18497
20201113T1500,39.416153,0.0,14.8257065,299.0546
20201113T1600,39.074154,0.0,12.245293,294.30457
20201113T1700,38.174156,0.0,9.9571085,282.5288
20201113T1800,37.292156,0.0,9.007196,267.7094
20201113T1900,36.266155,0.0,7.289445,237.09476
20201113T2000,35.258156,0.0,8.654987,225.0
20201113T2100,34.232155,0.0,10.883676,214.2157
20201113T2200,33.332153,0.0,11.592895,205.76933
20201113T2300,32.666157,0.0,14.372974,202.0679
20201114T0000,32.396156,0.0,16.73516,198.8247
20201114T0100,31.784155,0.0,18.161278,193.76079
20201114T0200,31.514154,0.0,19.201874,186.45882
20201114T0300,31.748156,0.0,20.172853,182.04541
20201114T0400,31.838156,0.0,21.2522,178.05852
20201114T0500,31.802155,0.0,23.266697,171.99527
20201114T0600,32.054153,0.0,25.984917,169.62416
20201114T0700,32.522156,0.0,30.216421,164.80475
20201114T0800,34.088154,0.0,31.655441,162.80145
20201114T0900,36.392155,0.0,30.972555,160.30138
20201114T1000,39.506157,0.0,31.154043,157.58385
20201114T1100,43.394154,0.0,33.895485,157.52057
20201114T1200,46.580154,0.0,35.031162,157.65189
20201114T1300,47.552155,0.0,35.834015,157.55725
20201114T1400,48.200153,0.2,35.647274,159.91801
20201114T1500,47.444157,0.0,37.34295,160.86635
20201114T1600,46.670155,0.0,39.619625,160.90651
20201114T1700,46.454155,0.0,41.123596,159.50266
20201114T1800,46.346153,0.0,42.05225,158.92728
20201114T1900,45.950157,0.3,42.347084,154.3063
20201114T2000,45.572155,0.5,44.513527,161.12546
20201114T2100,45.878155,0.0,45.34571,163.86716
20201114T2200,46.004154,0.0,45.150948,164.74487
20201114T2300,45.968155,0.0,45.57805,166.29305
20201115T0000,45.698154,0.0,45.216915,170.83765
20201115T0100,45.788155,0.7,41.784824,181.97493
20201115T0200,46.904156,0.6,38.059677,190.35332
20201115T0300,48.452156,0.0,35.06629,199.17902
20201115T0400,49.892155,0.0,30.911821,206.26663
20201115T0500,50.936157,0.0,29.460672,212.52489
20201115T0600,51.170155,0.0,31.828968,226.37483
20201115T0700,48.344154,0.0,43.274933,250.05762
20201115T0800,44.852154,0.0,44.71107,256.97083
20201115T0900,41.702156,0.2,48.673275,262.34937
20201115T1000,41.072155,0.3,52.199997,270.0
20201115T1100,43.898155,0.0,52.244667,267.6305
20201115T1200,45.320156,0.0,52.47857,264.09387
20201115T1300,44.186157,0.0,52.56493,269.21518
20201115T1400,43.484154,0.0,51.500134,271.60226
20201115T1500,43.646156,0.0,50.039997,270.0
20201115T1600,42.476154,0.0,50.765106,270.81265
20201115T1700,40.478157,0.0,51.726124,275.59155
20201115T1800,39.236156,0.0,50.071064,279.9364
20201115T1900,37.634155,0.0,47.161373,269.56265
20201115T2000,36.320156,0.0,45.429947,273.17984
20201115T2100,35.114155,0.0,44.093754,278.92398
20201115T2200,33.926155,0.0,41.93961,281.88867
20201115T2300,32.648155,0.0,38.941616,283.90778
20201116T0000,31.712154,0.0,36.785233,281.85977
20201116T0100,30.902155,0.0,34.80848,280.72885
20201116T0200,30.200155,0.0,32.335934,281.56012
20201116T0300,29.732155,0.0,30.500309,281.5752
20201116T0400,29.390156,0.0,28.594517,280.88553
20201116T0500,29.282154,0.0,26.525429,277.8002
20201116T0600,29.246155,0.0,25.582806,272.41953
20201116T0700,29.282154,0.0,24.546085,265.79465
20201116T0800,31.028154,0.0,23.087763,259.2157
20201116T0900,34.142155,0.0,21.518847,252.47443
20201116T1000,37.112156,0.0,19.803272,242.96915
20201116T1100,40.208153,0.0,19.681828,230.19443
20201116T1200,42.278156,0.0,20.018072,217.69424
20201116T1300,45.878155,0.0,19.486609,205.14479
20201116T1400,48.254158,0.0,20.176065,195.52411
20201116T1500,49.352154,0.0,20.431387,194.2811
20201116T1600,49.730156,0.0,17.654686,196.58734
20201116T1700,48.272156,0.0,14.007655,205.90651
20201116T1800,46.598156,0.0,15.575981,236.30994
20201116T1900,45.320156,0.0,24.187069,265.73212
20201116T2000,43.466156,0.0,33.62099,282.99463
20201116T2100,42.062157,0.0,36.50052,292.0113
